query_name,Predicted_taxonomic_group,Predicted_protein_name,eggNOG_free_text_description,Species_id,Gene_id,Fdrs,gene_id_n,cluster_id_n,cluster_id,species_id,representative,MGnify_accession,species_closest,ani_closest,gtpro_kmer_counts,phyeco_marker_counts,phyeco_pass_ratio,pangene_counts,genome_counts,Genome_type,Length,N_contigs,N50,GC_content,Completeness,Contamination,Domain,Phylum,Class,Order,Family,Genus,Species,Continent,Lineage_Shared,cor_max_species,Family_max_rank,Sp_rank,Gene_id,BLAST – Bt?,,Predicted_taxonomic_group
NA,NA,NA,NA,100196,UHGG219125_04450,0.000889418840422301,21912504450,867001368,GUT_GENOME008670_01368,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,Butyricimonas sp002161485,20,1513,UHGG219125_04450,Yes,,NA
NA,NA,NA,NA,100196,UHGG001290_02635,0.0440904028106082,129002635,18366403546,GUT_GENOME183664_03546,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,NA,15,1403,UHGG001290_02635,Yes,,NA
NA,NA,NA,NA,100196,UHGG225537_02552,0.0491805350037715,22553702552,6245700785,GUT_GENOME062457_00785,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,Clostridium_Q symbiosum,31,52,UHGG225537_02552,No,Phage,NA
NA,NA,NA,NA,100196,UHGG101183_00338,0.00964051189799201,10118300338,4160502767,GUT_GENOME041605_02767,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,Tyzzerella nexilis,46,135,UHGG101183_00338,No,Phage,NA
NA,NA,NA,NA,100196,UHGG254011_02001,0.0376573723322846,25401102001,1021501832,GUT_GENOME010215_01832,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,Phascolarctobacterium sp000436095,6,1476,UHGG254011_02001,Yes,,NA
NA,NA,NA,NA,100196,UHGG024627_03342,0.00393314065753911,2462703342,17278603097,GUT_GENOME172786_03097,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides thetaiotaomicron,1,1,UHGG024627_03342,Yes,,NA
NA,NA,NA,NA,100196,UHGG054582_00416,0.0167216365060962,5458200416,5458200416,GUT_GENOME054582_00416,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides thetaiotaomicron,1,1,UHGG054582_00416,Yes,,NA
NA,NA,NA,NA,100196,UHGG000155_03800,0.00976067299377063,15503800,24184801565,GUT_GENOME241848_01565,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides thetaiotaomicron,1,1,UHGG000155_03800,Yes,,NA
NA,NA,NA,NA,100196,UHGG070797_01681,0.0462991639940167,7079701681,24028203835,GUT_GENOME240282_03835,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides thetaiotaomicron,1,1,UHGG070797_01681,Yes,,NA
NA,NA,NA,NA,100196,UHGG172211_00241,0.0120746898627302,17221100241,17221100241,GUT_GENOME172211_00241,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides thetaiotaomicron,1,1,UHGG172211_00241,Yes,,NA
