query_name	Predicted_taxonomic_group	Predicted_protein_name	eggNOG_free_text_description	Species_id	Gene_id	Fdrs	gene_id_n	cluster_id_n	cluster_id	species_id	representative	MGnify_accession	species_closest	ani_closest	gtpro_kmer_counts	phyeco_marker_counts	phyeco_pass_ratio	pangene_counts	genome_counts	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	Domain	Phylum	Class	Order	Family	Genus	Species	Continent	Lineage_Shared	cor_max_species	Family_max_rank	Sp_rank
GUT_GENOME017334_04557	Butyrivibrio	arsC1	ArsC family	100060	UHGG249173_01879	0.03180722304052609	24917301879	01733404557	GUT_GENOME017334_04557	100060	GUT_GENOME000237	MGYG-HGUT-00060	100187	93.73645	8	15	1	336094	3163	Isolate	3236506	50	437259	37.95	98.66	0	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira eligens_B	Europe	FALSE	Absiella sp000165065	2	5
GUT_GENOME017448_01080	Eubacteriaceae	glmS	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source	100078	UHGG064037_00369	0.01103819633868729	06403700369	01744801080	GUT_GENOME017448_01080	100078	GUT_GENOME000308	MGYG-HGUT-00078	102580	84.03945	5551	15	1	114736	1860	Isolate	3032540	30	267346	36.51	98.66	0	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira rogosae	Europe	TRUE	Lachnospira sp900316325	1	1343
GUT_GENOME019009_02419	Clostridia	NA	Protein of unknown function (DUF2752)	100271	UHGG000117_02863	0.03746876776968644	00011702863	01900902419	GUT_GENOME019009_02419	100271	GUT_GENOME001770	MGYG-HGUT-00271	104271	90.31905	2501	15	1	340117	1060	Isolate	4008876	133	76264	41	99.52	0.24	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	Asia	TRUE	Roseburia inulinivorans	1	1
GUT_GENOME010616_00971	Negativicutes	NA	Belongs to the binding-protein-dependent transport system permease family	100060	UHGG047117_02378	1.7716258787925233e-5	04711702378	01061600971	GUT_GENOME010616_00971	100060	GUT_GENOME000237	MGYG-HGUT-00060	100187	93.73645	8	15	1	336094	3163	Isolate	3236506	50	437259	37.95	98.66	0	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira eligens_B	Europe	FALSE	Veillonella atypica	84	202
GUT_GENOME100256_01160	Paenibacillaceae	NA	Bacitracin ABC transporter permease	100271	UHGG001770_01542	0.03746876776968644	00177001542	10025601160	GUT_GENOME100256_01160	100271	GUT_GENOME001770	MGYG-HGUT-00271	104271	90.31905	2501	15	1	340117	1060	Isolate	4008876	133	76264	41	99.52	0.24	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	Asia	FALSE	Haemophilus_D	9	240
GUT_GENOME016205_00469	Eubacteriaceae	NA	Bacterial membrane protein YfhO	100078	UHGG154988_02076	0.01103819633868729	15498802076	01620500469	GUT_GENOME016205_00469	100078	GUT_GENOME000308	MGYG-HGUT-00078	102580	84.03945	5551	15	1	114736	1860	Isolate	3032540	30	267346	36.51	98.66	0	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira rogosae	Europe	TRUE	Lachnospira sp900316325	1	655
GUT_GENOME107363_01352	Blautia	ftsH	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins	101380	UHGG000135_01093	0.030939067139313388	00013501093	10736301352	GUT_GENOME107363_01352	101380	GUT_GENOME096210	MGYG-HGUT-01380	103065	84.8743	7454	15	1	150598	1238	Isolate	3437936	90	110702	42.38	99.42	0	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena gnavus	NA	TRUE	Faecalicatena gnavus	1	1
GUT_GENOME016431_01839	Eubacteriaceae	cheV	Two component signalling adaptor domain	100078	UHGG016431_01839	0.01103819633868729	01643101839	01643101839	GUT_GENOME016431_01839	100078	GUT_GENOME000308	MGYG-HGUT-00078	102580	84.03945	5551	15	1	114736	1860	Isolate	3032540	30	267346	36.51	98.66	0	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira rogosae	Europe	TRUE	Lachnospira sp900316325	1	536
GUT_GENOME106632_01612	Negativicutes	NA	domain protein	100271	UHGG200056_01835	3.703059395377253e-5	20005601835	10663201612	GUT_GENOME106632_01612	100271	GUT_GENOME001770	MGYG-HGUT-00271	104271	90.31905	2501	15	1	340117	1060	Isolate	4008876	133	76264	41	99.52	0.24	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	Asia	FALSE	Veillonella atypica	75	255
GUT_GENOME017453_02317	Eubacteriaceae	NA	signal transduction protein containing a membrane domain, an EAL and a GGDEF domain	100060	UHGG228006_01743	0.008774288688770376	22800601743	01745302317	GUT_GENOME017453_02317	100060	GUT_GENOME000237	MGYG-HGUT-00060	100187	93.73645	8	15	1	336094	3163	Isolate	3236506	50	437259	37.95	98.66	0	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira eligens_B	Europe	TRUE	Lachnospira sp900316325	1	980
GUT_GENOME004415_01545	Blautia	pcs	CDP-alcohol phosphatidyltransferase	101380	UHGG005482_00240	0.040599538077409715	00548200240	00441501545	GUT_GENOME004415_01545	101380	GUT_GENOME096210	MGYG-HGUT-01380	103065	84.8743	7454	15	1	150598	1238	Isolate	3437936	90	110702	42.38	99.42	0	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena gnavus	NA	FALSE	CAG-103 sp000432375	3	1079
GUT_GENOME108644_01598	Clostridia	ybbR	protein conserved in bacteria	100078	UHGG108644_01598	0.01103819633868729	10864401598	10864401598	GUT_GENOME108644_01598	100078	GUT_GENOME000308	MGYG-HGUT-00078	102580	84.03945	5551	15	1	114736	1860	Isolate	3032540	30	267346	36.51	98.66	0	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira rogosae	Europe	TRUE	Lachnospira sp900316325	1	635
